ID,SampleName,Progeny,Therapy,Implanted.Site
1,Sample1,1,Yes,Subcutaneos
2,Sample2,2,Yes,Subcutaneos
3,Sample3,2,Yes,IntraAbdominal
4,Sample4,3,Yes,Subcutaneos
5,Sample5,3,Yes,IntraAbdominal
6,Sample6,3,Yes,IntraAbdominal
7,Sample7,4,Yes,IntraAbdominal
8,Sample8,4,Yes,Subcutaneos
9,Sample9,4,Yes,IntraAbdominal
10,Sample10,4,Yes,Subcutaneos
11,Sample11,4,Yes,Subcutaneos
12,Sample12,4,Yes,IntraAbdominal
13,Sample13,4,Yes,IntraAbdominal
14,Sample14,5,Yes,IntraAbdominal
15,Sample15,5,Yes,Subcutaneos
16,Sample16,5,Yes,Subcutaneos
17,Sample17,5,Yes,IntraAbdominal
18,Sample18,6,Yes,Subcutaneos
19,Sample19,6,Yes,IntraAbdominal
20,Sample20,6,Yes,Subcutaneos
21,Sample21,6,Yes,IntraAbdominal
22,Sample22,6,Yes,Subcutaneos
23,Sample23,6,Yes,IntraAbdominal
24,Sample24,6,Yes,IntraAbdominal













